CaseID,Status_Notes,Responsible_Agency,Category,Request_Type,Request_Details
340272,NULL,"DPW Ops Queue","Homeless Concerns","Human Waste","Human Waste"
340271,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
340267,NULL,"PUC - Electric/Power - G","General Request - PUC",request_for_service,"electric - request_for_service"
340266,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
340265,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Hazardous Materials",Glass
340264,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
340261,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Hazardous Materials",Glass
340259,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
340256,"see sr #339233 ","DPT Abandoned Vehicles Work Queue","Abandoned Vehicle","Abandoned Vehicle - Other","red - van  - volkswagon - 2yrz467"
340253,NULL,"DPW - Bureau of Street Environmental Services - G","General Request - PUBLIC WORKS",request_for_service,"bses - request_for_service"
340246,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
340244,"These street lights were vandalized; the expensive copper wiring was stolen.  We regret that at this time our department does not have the funds to repair the lights. ","RPD Graffiti Queue","Rec and Park Requests","Park - Structural_Maintenance",Electrical
340236,NULL,"311 Supervisor Queue","Street Defects",Manhole_Cover_Off,Manhole_Cover_Off
340235,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
340232,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
340223,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
340216,"close per tenant request ","Housing Authority SR Queue","SFHA Requests",Plumbing,"Plumbing - Urgent"
340215,NULL,"DPT Abandoned Vehicles Work Queue","Abandoned Vehicle","Abandoned Vehicle - Car4door","BLUE/GREEN - BUICK - REGAL - 6EEH381"
340214,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
340212,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Hazardous Materials",Glass
340207,NULL,"DPW - Bureau of Street Environmental Services - G","General Request - PUBLIC WORKS",customer_callback,"bses - customer_callback"
340206,"#246 12-29-08 @1230 ","DPT Abandoned Vehicles Work Queue","Abandoned Vehicle","Abandoned Vehicle - Car4door","black - nissan - pathfinder - 3RHNO61"
340204,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
340203,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Electronics
340202,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
340197,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
340195,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning",Missed_Route_Mechanical_Sweeping,Missed_Route_Mechanical_Sweeping
992233,NULL,"311 Escalated KB Questions Queue","General Request - 311CUSTOMERSERVICECENTER",other,"311CustomerServiceCenter - other"
340193,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
340192,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
340191,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
340190,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
340189,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning",Overflowing_City_Receptacle_or_Dumpster,Overflowing_City_Receptacle_or_Dumpster
340186,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
340185,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Mattress
340181,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
340173,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Mattress
340167,"This is a PG&E problem.  Not a water dept problem.  Customer can also notify customer service...No customer contact number. ","PUC - Water - G","General Request - PUC",request_for_service,"water - request_for_service"
340166,"#391 12-30-08 @1050 ","DPT Abandoned Vehicles Work Queue","Abandoned Vehicle","Abandoned Vehicle - Trailer","TAN - UNKNOWN - UNKNOWN - 2MVV023"
340164,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
340161,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning",Overflowing_City_Receptacle_or_Dumpster,Overflowing_City_Receptacle_or_Dumpster
340160,""This has been reported before via 311.  These lights were vandalized"," as were others"," in Golden Gate Park.  Neither the police departement nor Park Patrol have been able to apprehend anyone responsible.  We regret that our department does not have the funds to repair the lights because the copper wiring was stolen. "","RPD Graffiti Queue","Rec and Park Requests"
340158,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning",Overflowing_City_Receptacle_or_Dumpster,Overflowing_City_Receptacle_or_Dumpster
340157,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
340156,"Barbara Lewis requested SR be cancelled because it was erroneously entered.  ","311 Service Request Queue","311 External Request",Damaged_Property,NULL
340155,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning",Overflowing_City_Receptacle_or_Dumpster,Overflowing_City_Receptacle_or_Dumpster
340153,"Graffiti was not found on sign pole or any other park ID sign.  Graffiti located in other areas of park was removed 12/30/08 ","RPD Graffiti Queue","Rec and Park Requests","Park - Structural_Maintenance",Graffiti
340148,NULL,"DPW - Other - G","General Request - PUBLIC WORKS",request_for_service,"dpw_other - request_for_service"
340134,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
340117,NULL,"DPW Ops Queue","Street Defects",Manhole_Cover_Off,Manhole_Cover_Off
340105,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Building_commercial","Building_commercial - Not_Offensive"
340091,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Signal_box","Signal_box - Not_Offensive"
340085,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
340083,NULL,"311 Service Request Queue","311 External Request",Damaged_Property,NULL
340078,NULL,"DPW Ops Queue",Encampments,"Encampment Reports","Encampment Cleanup"
340074,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
340069,NULL,"PUC - Electric/Power - G","General Request - PUC",request_for_service,"electric - request_for_service"
340068,"#248 12-29-08 @1031 ","DPT Abandoned Vehicles Work Queue","Abandoned Vehicle","Abandoned Vehicle - Other","red - na - westfella - NONE"
340064,NULL,"DPW Ops Queue","Homeless Concerns","Human Waste","Human Waste"
340063,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Electronics
340062,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
340061,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
340059,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Building_residential","Building_residential - Not_Offensive"
340058,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Building_commercial","Building_commercial - Not_Offensive"
340055,NULL,"DPW Ops Queue",Encampments,"Encampment items","Cart Pickup"
340054,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
340049,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
340043,NULL,"DPW Ops Queue",Graffiti,"Graffiti on City_receptacle","City_receptacle - Not_Offensive"
340042,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
340039,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
340036,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
340032,NULL,"DPW Ops Queue",Graffiti,"Graffiti on City_receptacle","City_receptacle - Not_Offensive"
340030,""NID 400240"," Muni Shelter  "","311 Service Request Queue","311 External Request",Graffiti
340028,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Hazardous Materials","Liquids - Oil/Paint/Other"
340025,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
340017,NULL,"PUC - Electric/Power - G","General Request - PUC",request_for_service,"electric - request_for_service"
340015,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Electronics
340013,NULL,"DPW BSM Queue","Litter Receptacles",Cans_Left_Out_24x7,Cans_Left_Out_24x7
340012,NULL,"DPW Ops Queue","Homeless Concerns","Human Waste","Human Waste"
340011,NULL,"DPW BSM Queue","Litter Receptacles",Cans_Left_Out_24x7,Cans_Left_Out_24x7
340009,NULL,"DPW Ops Queue","Homeless Concerns","Human Waste","Human Waste"
340008,NULL,"DPW BSM Queue","Litter Receptacles",Cans_Left_Out_24x7,Cans_Left_Out_24x7
340005,NULL,"DPW Ops Queue","Homeless Concerns","Human Waste","Human Waste"
340004,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
340003,"#145 12-29-08 @1325 ","DPT Abandoned Vehicles Work Queue","Abandoned Vehicle","Abandoned Vehicle - Car2door","BLACK - PORSCHE - BOXSTER - DFF835"
340001,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Hazardous Materials","Liquids - Oil/Paint/Other"
340000,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Mattress
339997,NULL,"DPW Ops Queue","Homeless Concerns","Medical Waste",Needles
339994,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339993,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
339992,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Pole","Pole - Offensive"
339991,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Pole","Pole - Offensive"
339990,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339989,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Signal_box","Signal_box - Offensive"
992234,NULL,"311 Escalated KB Questions Queue","General Request - 311CUSTOMERSERVICECENTER",other,"311CustomerServiceCenter - other"
339987,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Pole","Pole - Offensive"
334020,NULL,"DPW BSM Queue","Litter Receptacles",Cans_Left_Out_24x7,Cans_Left_Out_24x7
339985,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Other_enter_additional_details_below","Other_enter_additional_details_below - Offensive"
339983,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Other_enter_additional_details_below","Other_enter_additional_details_below - Offensive"
339982,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Signal_box","Signal_box - Offensive"
339981,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Pole","Pole - Offensive"
339980,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Other_enter_additional_details_below","Other_enter_additional_details_below - Offensive"
339978,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339977,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Building_commercial","Building_commercial - Offensive"
339975,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Building_other","Building_other - Offensive"
339974,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339972,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
339971,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339969,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Other_enter_additional_details_below","Other_enter_additional_details_below - Offensive"
339967,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339966,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Other_enter_additional_details_below","Other_enter_additional_details_below - Offensive"
339965,NULL,"PUC - Electric/Power - G","General Request - PUC",request_for_service,"electric - request_for_service"
339964,"Request Sent Directly to PUC ","311 Supervisor Queue","Sewer Issues",Flooding,On_street
339962,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Mail_box","Mail_box - Not_Offensive"
339961,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Electronics
339960,NULL,"DPW Ops Queue",Encampments,"Encampment Reports","Encampment Cleanup"
339959,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Mail_box","Mail_box - Not_Offensive"
339950,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339948,NULL,"DPW BSM Queue",Graffiti,"Graffiti on News_rack","News_rack - Not_Offensive"
339946,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Landscaping",Remove_tree_suckers
339945,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning",Automotive,Tires
339943,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339942,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Pole","Pole - Not_Offensive"
339941,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Pole","Pole - Not_Offensive"
339938,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339936,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Pole","Pole - Not_Offensive"
339933,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339932,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Signal_box","Signal_box - Not_Offensive"
339930,NULL,"DPT Signal Queue","Damaged Property","Damaged Traffic_Signal",Traffic_Signal
339928,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Pole","Pole - Not_Offensive"
339927,NULL,"PUC - Electric/Power - G","General Request - PUC",request_for_service,"electric - request_for_service"
339923,"DUPLICATE REQUEST. ","311 Supervisor Queue","Sign Repair","Sign - Defaced","Stop - Defaced; support - OK"
339919,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Mattress
339916,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339914,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339913,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Hazardous Materials",Glass
339910,"emailed to clear channel  ","311 Service Request Queue","311 External Request",Graffiti,"Graffiti - ClearChannel"
339904,NULL,"DPW Ops Queue","Homeless Concerns","Human Waste","Human Waste"
339903,"new sr 339909 ","311 Service Request Queue","311 External Request",Damaged_Property,NULL
339902,"Called Mr. Perry Fong to inform him to contact myservices@sfgov.org ","DBI - Others - G","General Request - BUILDING INSPECTION",customer_callback,"DBI_others - customer_callback"
339901,NULL,"311 Supervisor Queue","Rec and Park Requests","Park - Neighborhood_Services_Area",Trash_Dumping
339896,""Per PUC"," Duplicate "","311 Supervisor Queue","Sewer Issues",Sewage_Back_Up
339895,NULL,"DPW Ops Queue","Street Defects",Construction_Plate_Shifted,Construction_Plate_Shifted
339891,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339889,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339887,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339885,NULL,"DPW BSM Queue","Street Defects",Utility_Excavation,Utility_Excavation
339883,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339879,NULL,"DPW Ops Queue",Encampments,"Encampment items","Cart Pickup"
339875,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339874,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339872,NULL,"DPW Ops Queue","Homeless Concerns","Human Waste","Human Waste"
339871,NULL,"DPW Ops Queue","Homeless Concerns","Human Waste","Human Waste"
339870,NULL,"DPW Ops Queue","Homeless Concerns","Human Waste","Human Waste"
339868,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339860,NULL,"DPW Ops Queue","Litter Receptacles",Damaged_City_Can,Damaged_liner
339858,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339856,NULL,"DPW Ops Queue",Graffiti,"Graffiti on City_receptacle","City_receptacle - Offensive"
339854,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Electronics
339843,NULL,"DPW Ops Queue","Homeless Concerns","Human Waste","Human Waste"
339842,"Paint shop supervisor has two or three Mission Dolores Park graffiti work orders that are being completed today. ","RPD Graffiti Queue","Rec and Park Requests","Park - Structural_Maintenance",Graffiti
339841,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Mattress
339840,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Building_residential","Building_residential - Offensive"
339839,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Building_residential","Building_residential - Offensive"
339836,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Hazardous Materials",Glass
339835,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Sidewalk_structure","Sidewalk_structure - Not_Offensive"
339832,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
339831,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339829,"new sr#339835 ","311 Service Request Queue","311 External Request",Graffiti,NULL
339816,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339814,NULL,"DPW Ops Queue",Encampments,"Encampment items","Cart Pickup"
339809,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Hazardous Materials",Glass
339806,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning",Overflowing_City_Receptacle_or_Dumpster,Overflowing_City_Receptacle_or_Dumpster
339805,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Refrigerator
339804,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Mattress
339793,"email sent with link  ","311 Supervisor Queue","General Request - COUNTY CLERK",request_for_service,"county_clerk - request_for_service"
339789,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning",Automotive,Tires
339781,"Park Rangers advised of this situation. ","RPD Park Patrol Queue","Rec and Park Requests","Park - Park_Patrol",Other
339775,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Building_commercial","Building_commercial - Not_Offensive"
339763,NULL,"PUC - Electric/Power - G","General Request - PUC",request_for_service,"electric - request_for_service"
339759,NULL,"PUC - Electric/Power - G","General Request - PUC",request_for_service,"electric - request_for_service"
339741,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Sidewalk_in_front_of_property","Sidewalk_in_front_of_property - Not_Offensive"
339740,NULL,"PUC - Electric/Power - G","General Request - PUC",request_for_service,"electric - request_for_service"
339739,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Mail_box","Mail_box - Not_Offensive"
339737,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Pole","Pole - Not_Offensive"
339732,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339731,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Pole","Pole - Not_Offensive"
339730,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339729,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Mail_box","Mail_box - Not_Offensive"
339727,NULL,"DPW BSM Queue",Graffiti,"Graffiti on News_rack","News_rack - Not_Offensive"
339721,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Mattress
339718,""NID 400240"," Muni Kiosk "","311 Service Request Queue","311 External Request",Graffiti
339715,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
339714,NULL,"311 Supervisor Queue","Sewer Issues",Water_Main_Break,NA
339710,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Pole","Pole - Not_Offensive"
339709,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
339706,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Pole","Pole - Not_Offensive"
339705,NULL,"DPW Ops Queue","Homeless Concerns","Human Waste","Human Waste"
339703,NULL,"DPW Ops Queue","Homeless Concerns","Human Waste","Human Waste"
339696,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
339689,"New sr#339800 graffiti on bldg ","311 Service Request Queue","311 External Request",Graffiti,NULL
339688,NULL,"DPW Ops Queue","Homeless Concerns","Human Waste","Human Waste"
339685,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339684,"ORIGINAL SR WAS ACCEPTED. ","311 Supervisor Queue","Sidewalk or Curb",Public_Stairway_Defect,Public_Stairway_Defect
339683,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Hazardous Materials",Glass
339681,"New SR#339814 ","311 Supervisor Queue",Encampments,"Encampment items","Cart Pickup"
339673,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Building_commercial","Building_commercial - Not_Offensive"
339672,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
339671,NULL,"DPW Ops Queue","Homeless Concerns","Human Waste","Human Waste"
339670,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Pole","Pole - Not_Offensive"
339668,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339666,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
339664,NULL,"PUC - Electric/Power - G","General Request - PUC",request_for_service,"electric - request_for_service"
339662,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Other_enter_additional_details_below","Other_enter_additional_details_below - Offensive"
339661,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Mattress
339658,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Building_commercial","Building_commercial - Not_Offensive"
339654,NULL,"DPW Ops Queue","Homeless Concerns","Human Waste","Human Waste"
339653,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339650,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Building_commercial","Building_commercial - Not_Offensive"
339643,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Building_commercial","Building_commercial - Not_Offensive"
339641,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339639,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Electronics
339635,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339628,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339615,"New SR#339816 ","311 Supervisor Queue","Street and Sidewalk Cleaning",Automotive,Tires
339612,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339609,NULL,"DPW Ops Queue","Street Defects",Construction_Plate_Shifted,Construction_Plate_Shifted
339608,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Refrigerator
339604,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
339603,""NID 400240 Muni Kiosk"," Shelter.  "","311 Service Request Queue","311 External Request",Graffiti
339593,NULL,"DPW BSM Queue","Litter Receptacles",Cans_Left_Out_24x7,Cans_Left_Out_24x7
339592,NULL,"DPW BSM Queue","General Request - PUBLIC WORKS",customer_callback,"bses - customer_callback"
339587,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
339585,"Transferred to P.G. & E. online form - NID 400240 ","311 Service Request Queue","311 External Request",Damaged_Property,NULL
339584,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Mattress
339580,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339579,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
339576,"Called T/P back and confirmed non-posting of payment and provided contact names/numbers of two PT supervisors; forwarded inquiry to PT supervisors for follow-up ","Treasurer/Tax Collector - G","General Request - TT COLLECTOR",request_for_service,"tt_collector - request_for_service"
339563,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339557,""This is not unit issue"," building issue. SEE SR# 339488 "","Housing Authority SR Queue","SFHA Requests","Steam Fitter"
339550,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339548,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339544,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Hazardous Materials","Liquids - Oil/Paint/Other"
339542,NULL,"DPW Ops Queue","Homeless Concerns","Human Waste","Human Waste"
339541,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
339540,NULL,"DPW BSM Queue","Litter Receptacles",Cans_Left_Out_24x7,Cans_Left_Out_24x7
339539,NULL,"DPW Ops Queue","Homeless Concerns","Human Waste","Human Waste"
339536,""Per PUC"," Duplicate "","311 Supervisor Queue","Sewer Issues",Sewage_Back_Up
339523,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Pole","Pole - Offensive"
339522,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339521,NULL,"DPW Ops Queue","Homeless Concerns","Human Waste","Human Waste"
339520,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Electronics
339518,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339517,"#E91 12-30-08 @0746 ","DPT Abandoned Vehicles Work Queue","Abandoned Vehicle","Abandoned Vehicle - Car4door","black - bmw - na - 4ygp853"
338850,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Pole","Pole - Offensive"
339515,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339514,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning",Medical_waste,Medical_waste
339512,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Building_commercial","Building_commercial - Not_Offensive"
339511,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339510,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339509,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Mail_box","Mail_box - Not_Offensive"
339506,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339505,""This is not a unit issue"," but a development issue. Please see SR# 339488 "","Housing Authority SR Queue","SFHA Requests",Plumbing
339502,NULL,"DPW Ops Queue","Homeless Concerns","Human Waste","Human Waste"
339501,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
339500,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Signal_box","Signal_box - Not_Offensive"
339498,NULL,"PUC - Electric/Power - G","General Request - PUC",request_for_service,"electric - request_for_service"
339496,"Area cleaned up. ","RPD GGP Queue","Rec and Park Requests","Park - Neighborhood_Services_Area",TrashDumping
339494,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
